,Network,avg_invasion_time_beta0.1,avg_invasion_time_beta0.05,avg_prop_infected_beta0.1,avg_prop_infected_beta0.05,no_invasion_beta0.1,no_invasion_beta0.05,Fiedler,Adj_val,Rnot,network_size,most_infected_node,Modularity,Mean_degree,Centrality,transitivity.gcc_s..type....global..,Diameter
1,aves_barn_swallow_contact_network,2.693877551,5.0375,0.25090036,0.669852941,51,20,0.735768791,7.407419963,0.134999771,17,3,0.175685297,0.389705882,7.407419963,0.47277937,4
2,aves_weaver_social_04,3.058823529,5.833333333,0.264705882,0.558333333,83,40,0.295986931,4.26465208,0.234485717,10,8,0.397506925,0.422222222,4.26465208,0.775862069,4
3,aves_weaver_social_05,3.588235294,5.985074627,0.248868778,0.460390356,83,33,0.171206681,4.115556628,0.242980498,13,1,0.425207756,0.243589744,4.115556628,0.634615385,6
4,aves_weaver_social_06,2.542857143,3.057471264,0.239097744,0.619479734,65,13,0.37356353,7.770648666,0.128689385,19,3,0.389282227,0.374269006,7.770648666,0.753731343,4
5,aves_weaver_social_07,3.3,5.386363636,0.52,0.781818182,90,56,2,3.323404276,0.300896285,5,2,0,0.8,3.323404276,0.789473684,2
6,aves_weaver_social_08,2.746031746,2.815217391,0.244897959,0.679736025,37,8,1.629160029,9.91958892,0.100810629,28,23,0.297958412,0.304232804,9.91958892,0.560856865,3
7,aves_weaver_social_09,2.714285714,3.871428571,0.3125,0.733333333,72,30,0.926274144,6.759785131,0.147933696,12,8,0.152777778,0.545454545,6.759785131,0.695652174,3
8,aves_weaver_social_10,2.823529412,6.578125,0.176470588,0.404017857,83,36,0.182175588,4.259083762,0.234792283,14,2,0.38875,0.21978022,4.259083762,0.55,6
9,aves_weaver_social_11,3.034482759,3.051546392,0.150512582,0.52438005,42,3,0.114868924,8.155153974,0.122621842,37,29,0.477249063,0.147147147,8.155153974,0.503816794,7
10,aves_weaver_social_12,3,3.617021277,0.197200243,0.55730954,47,6,0.332273562,8.713098945,0.114769728,31,24,0.395725154,0.195698925,8.713098945,0.557926829,6
11,aves_weaver_social_13,2.490566038,2.835164835,0.277428372,0.643060643,47,9,0.369790128,11.93399053,0.083794268,27,14,0.227073381,0.321937322,11.93399053,0.726739313,6
