Graph.Name,avg_invasion_time_beta0.2_gamma0.04,avg_prop_infected_beta0.2_gamma0.04,avg_invasion_time_beta0.1_gamma0.04,avg_prop_infected_beta0.1_gamma0.04,avg_invasion_time_beta0.05_gamma0.04,avg_prop_infected_beta0.05_gamma0.04,avg_invasion_time_beta0.025_gamma0.04,avg_prop_infected_beta0.025_gamma0.04,avg_invasion_time_beta0.01_gamma0.04,avg_prop_infected_beta0.01_gamma0.04,avg_invasion_time_beta0.2_gamma0.4,avg_prop_infected_beta0.2_gamma0.4,avg_invasion_time_beta0.1_gamma0.4,avg_prop_infected_beta0.1_gamma0.4,avg_invasion_time_beta0.05_gamma0.4,avg_prop_infected_beta0.05_gamma0.4,avg_invasion_time_beta0.025_gamma0.4,avg_prop_infected_beta0.025_gamma0.4,avg_invasion_time_beta0.01_gamma0.4,avg_prop_infected_beta0.01_gamma0.4,Fiedler,Spectral_radius,Network_size,Highest_degree,highest_degree_scaled,Modularity,central,Qrel,Mean_degree,Transitivity,Diameter,Mean_pathLength
aves_barn_swallow_contact_network,2.366666667,0.865686275,3.573770492,0.776277724,4.62962963,0.653594771,8.75862069,0.507099391,13.28205128,0.306184012,2.395833333,0.424019608,3.580645161,0.269449715,3.058823529,0.193771626,3.75,0.161764706,3.2,0.141176471,0.735768791,7.407419963,17,3,0.176470588,0.175685297,0.297794118,0.68511926,0.389705882,0.47277937,4,1.727941176
aves_weaver_social_04,2.921052632,0.771052632,3.054054054,0.645945946,7.317073171,0.475609756,7.25,0.465,17.72222222,0.305555556,2.333333333,0.340740741,2.714285714,0.257142857,3.125,0.2625,3.857142857,0.214285714,6,0.25,0.295986931,4.26465208,10,8,0.8,0.397506925,0.133333333,0.450138504,0.422222222,0.775862069,4,2
aves_weaver_social_05,3.525,0.717307692,4.264705882,0.588235294,8.702702703,0.401247401,8.744680851,0.29787234,18.09090909,0.20979021,2.62962963,0.267806268,3.263157895,0.214574899,3.916666667,0.179487179,4,0.153846154,5,0.153846154,0.171206681,4.115556628,13,1,0.076923077,0.425207756,0.173076923,0.477839335,0.243589744,0.634615385,6,2.628205128
aves_weaver_social_06,2.220588235,0.843653251,2.701492537,0.730557738,4.13559322,0.592328278,6,0.403225806,10.19444444,0.298245614,2.34,0.352631579,2.6,0.255263158,2.653846154,0.168016194,2.769230769,0.145748988,4.75,0.118421053,0.37356353,7.770648666,19,3,0.157894737,0.389282227,0.236842105,0.654907227,0.374269006,0.753731343,4,2.128654971
aves_weaver_social_07,3.2,0.904,4.307692308,0.861538462,6.772727273,0.736363636,9.214285714,0.628571429,14.66666667,0.5,2.909090909,0.6,3.764705882,0.470588235,3.875,0.475,3.5,0.5,100,0,2,3.323404276,5,2,0.4,0,0.2,NA,0.8,0.789473684,2,1.2
aves_weaver_social_08,2.148648649,0.866312741,2.365079365,0.799886621,3.648648649,0.678088803,4.9375,0.515066964,10.93939394,0.273809524,2.134328358,0.442963753,2.983050847,0.258474576,3.475,0.158928571,3.333333333,0.152380952,3.090909091,0.097402597,1.629160029,9.91958892,28,23,0.821428571,0.297958412,0.399470899,0.697958412,0.304232804,0.560856865,3,1.82010582
aves_weaver_social_09,2.522727273,0.84280303,2.829268293,0.825203252,4.347826087,0.670289855,6.703703704,0.478395062,9.84,0.336666667,2.25,0.440104167,2.714285714,0.31547619,2.909090909,0.231060606,3.25,0.197916667,2.666666667,0.222222222,0.926274144,6.759785131,12,8,0.666666667,0.152777778,0.272727273,0.486111111,0.545454545,0.695652174,3,1.515151515
aves_weaver_social_10,3.612244898,0.623906706,5.609756098,0.545296167,8.261904762,0.389455782,11.75,0.308673469,15.77777778,0.218253968,2.972972973,0.27027027,2.68,0.2,3.875,0.169642857,5,0.142857143,4,0.142857143,0.182175588,4.259083762,14,2,0.142857143,0.38875,0.318681319,0.53875,0.21978022,0.55,6,2.615384615
aves_weaver_social_11,2.421686747,0.724194074,2.901098901,0.622512623,4.069444444,0.492867868,7.666666667,0.303303303,12.73333333,0.161261261,2.457142857,0.28957529,2.872340426,0.167912593,3.3125,0.117398649,2.923076923,0.095634096,100,0,0.114868924,8.155153974,37,29,0.783783784,0.477249063,0.380630631,0.732351104,0.147147147,0.503816794,7,2.867867868
aves_weaver_social_12,2.369863014,0.786566505,2.918918919,0.681778553,5,0.550509338,6.102941176,0.375711575,11.11320755,0.208155813,2.563636364,0.324340176,3.040816327,0.202106649,2.818181818,0.127565982,3.5,0.120967742,2,0.096774194,0.332273562,8.713098945,31,24,0.774193548,0.395725154,0.337634409,0.736384495,0.195698925,0.557926829,6,2.447311828
aves_weaver_social_13,2.194444444,0.79218107,2.807692308,0.722697056,3.285714286,0.634439634,5.734375,0.491319444,8.87755102,0.300075586,2.276923077,0.422792023,3.290909091,0.287542088,2.897435897,0.165242165,3.217391304,0.136876006,2.5,0.074074074,0.369790128,11.93399053,27,14,0.518518519,0.227073381,0.293447293,0.527958337,0.321937322,0.726739313,6,2.131054131
aves_weaver_social_14,2.404761905,0.91991342,2.857142857,0.863636364,4.395348837,0.739957717,6.1,0.584090909,9.636363636,0.41322314,2.317073171,0.498891353,2.526315789,0.421052632,3.363636364,0.280991736,3.571428571,0.272727273,2.142857143,0.25974026,2.941186416,7.456624992,11,1,0.090909091,0.049515235,0.309090909,0.496883657,0.690909091,0.764940239,2,1.309090909
aves_weaver_social_15,2.95,0.8875,2.733333333,0.816666667,5.178571429,0.653571429,9.870967742,0.516129032,16.04166667,0.416666667,2.393939394,0.493939394,2.869565217,0.317391304,3.545454545,0.281818182,3,0.25,5,0.3,0.969890492,6.09209043,10,8,0.8,0.036242604,0.311111111,0.651627219,0.577777778,0.717391304,3,1.444444444
aves_weaver_social_16,2.382978723,0.748005319,3.659574468,0.637300532,4.629213483,0.481214888,10.27906977,0.303960756,18.77586207,0.165948276,2.659340659,0.256524725,4.105263158,0.155701754,3.4,0.110416667,3.25,0.076171875,2.5,0.09375,0.272386333,9.289051207,64,24,0.375,0.549267452,0.245535714,0.78090587,0.087797619,0.477532369,6,3.043650794
aves_weaver_social_17,2.962962963,0.845679012,4.368421053,0.701754386,8.111111111,0.62962963,10.25,0.513888889,16,0.388888889,2.875,0.427083333,3.636363636,0.409090909,3,0.351851852,3.5,0.5,100,0,1,3.261802245,6,1,0.166666667,0.166666667,0.4,0.5,0.6,0.714285714,2,1.4
aves_weaver_social_18,2.666666667,0.849206349,6.692307692,0.826923077,6.304347826,0.717391304,9.823529412,0.607843137,11.86666667,0.488888889,2.75,0.479166667,3.388888889,0.444444444,4,0.416666667,3.25,0.375,100,0,1,4.051374242,6,3,0.5,0.033057851,0.266666667,0.396694215,0.733333333,0.882352941,2,1.266666667
