Graph Name,Source,Captive,Edge_weight,Interaction_type,Data_collection,Species,Data_duration_days,Mammal?,Time_resolution_secs,Citation
aves_barn_swallow_contact_network,NR,No,Frequency,Physical_contact,logger,Hirundo_rustica,11,No,Very_fine,"Levin, Iris I., et al. ""Stress response, gut microbial diversity and sexual signals correlate with social interactions."" Biology Letters 12.6 (2016): 20160352."
aves_barn_swallow_non_physical,NR,No,Frequency,Physical_contact,logger,Hirundo_rustica,11,No,Very_fine,"Levin, Iris I., et al. ""Stress response, gut microbial diversity and sexual signals correlate with social interactions."" Biology Letters 12.6 (2016): 20160352."
aves_geese_female_foraging,NR,Yes,Frequency,Foraging,survey_scan,Branta_leucopsis,15,No,Fine,"Kurvers, Ralf HJM, et al. ""Contrasting context dependence of familiarity and kinship in animal social networks."" Animal Behaviour 86.5 (2013): 993_100"
aves_geese_male_foraging,NR,Yes,Frequency,Foraging,survey_scan,Branta_leucopsis,15,No,Fine,"Kurvers, Ralf HJM, et al. ""Contrasting context dependence of familiarity and kinship in animal social networks."" Animal Behaviour 86.5 (2013): 993_101"
aves_hens_pecking_order,NR,Yes,Frequency,Dominance,NA,Gallus_gallus,11,No,Very_fine,"Guhl, A. M. ""Social behavior of the domestic fowl."" Transactions of the Kansas Academy of Science (1903_) 71.3 (1968): 379_384."
aves_songbird_social,NR,No,Frequency,Social_projection_bipartite,RFID,Haemorhous_mexicanus,137,No,Very_fine,"Adelman, James S., et al. ""Feeder use predicts both acquisition and transmission of a contagious pathogen in a North American songbird."" Proc. R. Soc. B. Vol. 282. No. 1815. The Royal Society, 2015."
aves_sparrow_social_2009,NR,No,simple_ratio_index,Group_membership,survey_scan,Zonotrichia_atricapilla,90,No,Focal_follow,"Arnberg, Nina N., et al. ""Social network structure in wintering golden_��crowned sparrows is not correlated with kinship."" Molecular ecology 24.19 (2015): 5034_5044."
aves_sparrow_social_2010,NR,No,simple_ratio_index,Group_membership,survey_scan,Zonotrichia_atricapilla,90,No,Focal_follow,"Arnberg, Nina N., et al. ""Social network structure in wintering golden_��crowned sparrows is not correlated with kinship."" Molecular ecology 24.19 (2015): 5034_5044."
aves_sparrow_social,NR,No,simple_ratio_index,Group_membership,survey_scan,Zonotrichia_atricapilla,90,No,Focal_follow,"Arnberg, Nina N., et al. ""Social network structure in wintering golden_��crowned sparrows is not correlated with kinship."" Molecular ecology 24.19 (2015): 5034_5044."
aves_sparrowlyon_flock_season2,NR,No,Frequency,Group_membership,survey_scan,Zonotrichia_atricapilla,120,No,Focal_follow,"Shizuka, Daizaburo, et al. ""Across_year social stability shapes network structure in wintering migrant sparrows."" Ecology letters 17.8 (2014): 998_1007."
aves_sparrowlyon_flock_season3,NR,No,Frequency,Group_membership,survey_scan,Zonotrichia_atricapilla,120,No,Focal_follow,"Shizuka, Daizaburo, et al. ""Across_year social stability shapes network structure in wintering migrant sparrows."" Ecology letters 17.8 (2014): 998_1007."
aves_thornbill_farine,NR,No,Frequency,Group_membership,survey_scan,Acanthiza_sp,60,No,Focal_follow,"Farine, Damien R., and Peter J. Milburn. ""Social organisation of thornbill_dominated mixed_species flocks using social network analysis."" Behavioral Ecology and Sociobiology 67.2 (2013): 321_330."
aves_weaver_social_00,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_01,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_02,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_03,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_04,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_05,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_06,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_07,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_08,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_09,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_10,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_11,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
aves_weaver_social_12,NR,No,Unweighted,Social_projection_bipartite,mark_recapture,Philetairus_socius,300,No,Focal_follow,"van Dijk, Rene E., et al., ""Cooperative investment in public goods is kin directed in communal nests of social birds."" Ecology letters 17.9 (2014): 1141_1148."
